#SDF2asc -v panel_d3.010 x y z strx stry strz
#x y z strx stry strz
3.594998e-01 6.660290e-01 6.472336e-01 7.746255e-04 2.954989e-02 -3.075838e-02
2.198572e-01 6.816758e-01 6.926891e-01 -2.375180e-04 2.442409e-02 -2.381174e-02
2.940729e-01 6.425223e-01 7.020864e-01 -1.978175e-03 2.857364e-02 -2.544626e-02
4.466589e-01 8.050655e-01 3.804018e-01 1.882761e-02 9.845394e-03 -4.314786e-02
3.135633e-01 8.332955e-01 4.473632e-01 1.251748e-02 1.354835e-02 -3.418781e-02
4.086439e-01 7.455460e-01 5.185726e-01 9.172074e-03 2.216757e-02 -3.912739e-02
3.904029e-01 7.983875e-01 4.498913e-01 1.346203e-02 1.545457e-02 -3.885740e-02
2.086352e-01 7.421631e-01 6.314142e-01 2.796147e-03 2.100985e-02 -2.572485e-02
3.464877e-01 7.293214e-01 5.830919e-01 4.999942e-03 2.424536e-02 -3.330592e-02
2.551554e-01 8.174345e-01 5.096225e-01 8.806822e-03 1.618398e-02 -3.026505e-02
2.698388e-01 7.663018e-01 5.766699e-01 5.648430e-03 2.056966e-02 -2.992953e-02
7.594638e-01 3.765773e-01 5.228269e-01 -1.987915e-02 4.837255e-02 -6.233324e-03
6.980776e-01 5.172026e-01 4.863181e-01 2.988852e-03 3.866166e-02 -4.546191e-02
6.480913e-01 4.363230e-01 6.171839e-01 -1.514456e-02 5.568890e-02 -2.352323e-02
7.053174e-01 4.446968e-01 5.442450e-01 -1.038927e-02 5.139343e-02 -2.852819e-02
5.228269e-01 7.594638e-01 3.765773e-01 2.105089e-02 9.934669e-03 -4.896101e-02
4.863181e-01 6.980776e-01 5.172026e-01 8.855388e-03 2.623287e-02 -4.364089e-02
6.171839e-01 6.480913e-01 4.363230e-01 1.565671e-02 2.199019e-02 -5.471448e-02
5.442450e-01 7.053174e-01 4.446968e-01 1.520363e-02 2.005827e-02 -5.042193e-02
3.765773e-01 5.228269e-01 7.594638e-01 -8.940763e-03 3.699950e-02 -2.109564e-02
5.172026e-01 4.863181e-01 6.980776e-01 -1.150856e-02 4.710175e-02 -2.429592e-02
4.363230e-01 6.171839e-01 6.480913e-01 -1.466372e-03 3.529909e-02 -3.267922e-02
4.446968e-01 5.442450e-01 7.053174e-01 -6.983328e-03 4.010512e-02 -2.654312e-02
6.330077e-01 5.825796e-01 5.009850e-01 6.443336e-03 3.573384e-02 -4.963670e-02
5.009850e-01 6.330077e-01 5.825796e-01 2.676942e-03 3.483167e-02 -4.013107e-02
5.825796e-01 5.009850e-01 6.330077e-01 -8.612030e-03 4.928031e-02 -3.113530e-02
5.747358e-01 5.747358e-01 5.747358e-01 -1.339360e-04 4.138410e-02 -4.125017e-02
-6.116655e-02 8.361560e-01 5.401363e-01 4.928840e-03 1.195584e-02 -1.775563e-02
-1.825478e-01 8.424248e-01 5.006721e-01 4.778657e-03 9.854351e-03 -1.474193e-02
-1.376968e-01 7.698542e-01 6.180937e-01 2.279101e-03 1.262027e-02 -1.508498e-02
-1.262929e-01 8.189833e-01 5.543991e-01 4.006478e-03 1.136897e-02 -1.595446e-02
-4.466589e-01 8.050655e-01 3.804018e-01 4.310221e-03 7.052031e-03 -9.890410e-03
-4.086439e-01 7.455460e-01 5.185726e-01 2.410601e-03 8.541714e-03 -1.036607e-02
-3.135633e-01 8.332955e-01 4.473632e-01 4.566999e-03 8.218712e-03 -1.208801e-02
-3.904029e-01 7.983875e-01 4.498913e-01 3.733993e-03 7.926671e-03 -1.075849e-02
-3.027767e-01 5.722590e-01 7.570905e-01 -2.150807e-03 1.201730e-02 -9.909578e-03
-2.198572e-01 6.816759e-01 6.926891e-01 -1.005335e-04 1.262282e-02 -1.237792e-02
-3.594998e-01 6.660290e-01 6.472336e-01 2.446442e-04 1.026698e-02 -1.040038e-02
-2.940729e-01 6.425223e-01 7.020864e-01 -6.651476e-04 1.159493e-02 -1.094438e-02
-2.551554e-01 8.174345e-01 5.096225e-01 3.904883e-03 9.419841e-03 -1.314330e-02
-3.464877e-01 7.293212e-01 5.830919e-01 1.674910e-03 9.678795e-03 -1.111782e-02
-2.086352e-01 7.421631e-01 6.314141e-01 1.532707e-03 1.178813e-02 -1.341261e-02
-2.698388e-01 7.663018e-01 5.766699e-01 2.380665e-03 1.032467e-02 -1.254719e-02
-8.361560e-01 5.401363e-01 6.116655e-02 3.267076e-03 5.754948e-03 -5.651845e-03
-8.424248e-01 5.006721e-01 1.825478e-01 2.146291e-03 5.832435e-03 -5.900535e-03
-7.698543e-01 6.180937e-01 1.376968e-01 3.494431e-03 5.747193e-03 -6.151793e-03
-8.189833e-01 5.543991e-01 1.262929e-01 2.989789e-03 5.733726e-03 -5.898366e-03
-8.050655e-01 3.804018e-01 4.466589e-01 -4.605285e-04 6.277998e-03 -6.144672e-03
-7.455460e-01 5.185726e-01 4.086439e-01 8.240231e-04 6.439582e-03 -6.632124e-03
-8.332955e-01 4.473632e-01 3.135633e-01 9.050104e-04 6.011282e-03 -6.075845e-03
-7.983875e-01 4.498913e-01 3.904029e-01 4.382962e-04 6.201556e-03 -6.297104e-03
-5.722590e-01 7.570905e-01 3.027767e-01 4.028950e-03 6.305826e-03 -8.189778e-03
-6.816759e-01 6.926891e-01 2.198572e-01 3.752947e-03 5.905190e-03 -6.971536e-03
-6.660290e-01 6.472336e-01 3.594998e-01 2.322657e-03 6.474525e-03 -7.336572e-03
-6.425223e-01 7.020864e-01 2.940729e-01 3.330800e-03 6.213824e-03 -7.476585e-03
-8.174345e-01 5.096225e-01 2.551554e-01 1.788596e-03 5.908420e-03 -6.149921e-03
-7.293212e-01 5.830919e-01 3.464877e-01 1.789448e-03 6.278838e-03 -6.808632e-03
-7.421632e-01 6.314142e-01 2.086352e-01 3.148688e-03 5.862454e-03 -6.516281e-03
-7.663018e-01 5.766699e-01 2.698388e-01 2.237793e-03 6.026983e-03 -6.452658e-03
-5.401363e-01 6.116655e-02 8.361560e-01 -7.003652e-03 7.379842e-03 -5.171862e-03
-5.006721e-01 1.825478e-01 8.424248e-01 -6.197806e-03 8.508360e-03 -5.604843e-03
-6.180937e-01 1.376968e-01 7.698542e-01 -5.253952e-03 7.206616e-03 -5.595602e-03
-5.543991e-01 1.262929e-01 8.189833e-01 -6.230116e-03 7.706184e-03 -5.356798e-03
-3.804018e-01 4.466589e-01 8.050655e-01 -3.831221e-03 1.098802e-02 -7.911939e-03
-5.185726e-01 4.086439e-01 7.455460e-01 -3.077297e-03 8.985409e-03 -7.095226e-03
-4.473632e-01 3.135633e-01 8.332955e-01 -5.163539e-03 9.752314e-03 -6.484852e-03
-4.498913e-01 3.904029e-01 7.983875e-01 -4.046598e-03 9.912544e-03 -7.141002e-03
-7.570905e-01 3.027767e-01 5.722590e-01 -1.951128e-03 6.602870e-03 -6.093068e-03
-6.926891e-01 2.198572e-01 6.816759e-01 -3.559598e-03 6.933429e-03 -5.911805e-03
-6.472336e-01 3.594998e-01 6.660290e-01 -2.453413e-03 7.548680e-03 -6.491906e-03
-7.020864e-01 2.940729e-01 6.425223e-01 -2.689875e-03 7.023187e-03 -6.142338e-03
-5.096225e-01 2.551554e-01 8.174345e-01 -5.264014e-03 8.791025e-03 -6.008864e-03
-5.830919e-01 3.464877e-01 7.293212e-01 -3.311693e-03 8.208301e-03 -6.538334e-03
-6.314141e-01 2.086352e-01 7.421631e-01 -4.429226e-03 7.417213e-03 -5.819775e-03
-5.766699e-01 2.698388e-01 7.663018e-01 -4.287175e-03 8.087118e-03 -6.133840e-03
-5.228269e-01 7.594638e-01 3.765773e-01 3.533710e-03 6.878190e-03 -8.872920e-03
-6.171839e-01 6.480913e-01 4.363230e-01 1.776006e-03 6.965457e-03 -7.811390e-03
-4.863181e-01 6.980776e-01 5.172026e-01 1.744849e-03 8.078246e-03 -9.240118e-03
-5.442450e-01 7.053174e-01 4.446968e-01 2.387282e-03 7.280956e-03 -8.626658e-03
-7.594638e-01 3.765773e-01 5.228269e-01 -1.054832e-03 6.592940e-03 -6.297259e-03
-6.480913e-01 4.363230e-01 6.171839e-01 -1.455594e-03 7.527716e-03 -6.852102e-03
-6.980776e-01 5.172026e-01 4.863181e-01 2.499714e-04 6.847246e-03 -6.933928e-03
-7.053174e-01 4.446968e-01 5.442450e-01 -7.391215e-04 6.967819e-03 -6.651132e-03
-3.765773e-01 5.228269e-01 7.594638e-01 -2.528290e-03 1.090859e-02 -8.801794e-03
-4.363230e-01 6.171839e-01 6.480913e-01 -2.861634e-04 9.483291e-03 -9.238418e-03
-5.172026e-01 4.863181e-01 6.980776e-01 -1.940398e-03 8.942771e-03 -7.676343e-03
-4.446968e-01 5.442450e-01 7.053174e-01 -1.578087e-03 9.765844e-03 -8.530465e-03
-6.330077e-01 5.825796e-01 5.009850e-01 6.979329e-04 7.226630e-03 -7.514048e-03
-5.825796e-01 5.009850e-01 6.330077e-01 -1.106667e-03 8.104104e-03 -7.443331e-03
-5.009850e-01 6.330077e-01 5.825796e-01 5.086876e-04 8.475578e-03 -8.766402e-03
-5.747358e-01 5.747358e-01 5.747358e-01 1.174483e-05 7.912345e-03 -7.900599e-03
-5.401363e-01 -6.116655e-02 8.361560e-01 -8.204299e-03 6.412731e-03 -4.795511e-03
-6.180937e-01 -1.376968e-01 7.698542e-01 -7.624866e-03 5.422069e-03 -5.148794e-03
-5.006721e-01 -1.825479e-01 8.424248e-01 -9.749634e-03 5.385205e-03 -4.595075e-03
-5.543991e-01 -1.262929e-01 8.189833e-01 -8.461284e-03 5.737612e-03 -4.855127e-03
-7.570905e-01 -3.027767e-01 5.722591e-01 -6.391188e-03 4.226011e-03 -6.244774e-03
-6.472336e-01 -3.594998e-01 6.660290e-01 -8.337752e-03 3.703569e-03 -6.112039e-03
-6.926891e-01 -2.198572e-01 6.816758e-01 -7.014609e-03 4.680335e-03 -5.638176e-03
-7.020864e-01 -2.940729e-01 6.425223e-01 -7.232949e-03 4.170536e-03 -5.953548e-03
-3.804018e-01 -4.466589e-01 8.050655e-01 -1.358498e-02 1.863621e-03 -5.359136e-03
-4.473632e-01 -3.135633e-01 8.332955e-01 -1.154815e-02 3.893272e-03 -4.704127e-03
-5.185726e-01 -4.086439e-01 7.455460e-01 -1.071563e-02 2.945114e-03 -5.832086e-03
-4.498913e-01 -3.904029e-01 7.983875e-01 -1.187128e-02 2.922152e-03 -5.303593e-03
-6.314142e-01 -2.086352e-01 7.421631e-01 -7.867733e-03 4.808564e-03 -5.323376e-03
-5.830919e-01 -3.464877e-01 7.293214e-01 -9.322062e-03 3.665799e-03 -5.711526e-03
-5.096225e-01 -2.551554e-01 8.174345e-01 -1.004495e-02 4.564135e-03 -4.863659e-03
-5.766699e-01 -2.698388e-01 7.663018e-01 -9.066427e-03 4.378302e-03 -5.275446e-03
-8.361560e-01 -5.401363e-01 6.116655e-02 -4.207897e-03 5.268367e-03 -9.336237e-03
-7.698543e-01 -6.180937e-01 1.376968e-01 -5.563275e-03 4.542882e-03 -1.010541e-02
